"","V1","V2","V3","lat","lon"
"12022","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"12023","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"12024","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"12025","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"12026","RadiantBlue Technologies, Inc.","Systems Analyst I","Chantilly, VA",38.88668,-77.44566
"12027","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"12028","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"12029","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"12030","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"12031","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"12032","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"12033","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"12034","Goldbelt, Inc.","DATA ENTRY OPERATOR II","Newport News, VA",37.058296,-76.463471
"12035","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"12036","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
"12037","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"12038","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"12039","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"12040","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"12041","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"12042","General Dynamics - Information Technology","Network Analyst/Systems Administrator II - TS/SCI - Ft. Belv...","Fort Belvoir, VA",38.714562,-77.167886
"12043","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"12044","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"12045","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"12046","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"12047","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"12048","Vencore","IT Specialist/ SharePoint","McLean, VA",38.935202,-77.18672
"12049","Prince William County Government","Scale Operator","Manassas, VA",38.744685,-77.487162
"12050","Department of Defense","Multimedia Specialist","Springfield, VA",38.704562,-78.446119
